순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
12,Dirty Work,aespa,Dirty Work,가요 / 댄스,03:00,정물화 (JamFactory),"Evan Blair,UPSAHL,Elijah Noll,IMLAY","Evan Blair,IMLAY",8028,631149,6901418,https://www.genie.co.kr/detail/songInfo?xgnm=110452518,110452518
13,청춘만화,이무진,만화 (滿花),가요 / 락,04:35,이무진,"Factist,Jossh,W.Darmody,이무진","Factist,Jossh",20104,1089659,20258391,https://www.genie.co.kr/detail/songInfo?xgnm=107985564,107985564
14,like JENNIE,제니 (JENNIE),Ruby,가요 / 댄스,02:04,"제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","Diplo,Leclair,jorge",16149,1010069,19372115,https://www.genie.co.kr/detail/songInfo?xgnm=109342665,109342665
15,HOME SWEET HOME (Feat. 태양 & 대성),G-DRAGON,HOME SWEET HOME,가요 / 랩/힙합,03:31,"G-DRAGON,TEDDY,CHOICE37","VVN,G-DRAGON,TEDDY,KUSH,24","24,NOS,Jumpa,Mondee",36798,1340236,37188784,https://www.genie.co.kr/detail/songInfo?xgnm=108434388,108434388
16,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,가요 / 발라드,03:56,김창환,김건모,신성진,11263,712127,10090653,https://www.genie.co.kr/detail/songInfo?xgnm=109608007,109608007
17,시작의 아이 ❍,박다혜 & 마크툽 (Maktub),시작의 아이 ❍ ハジマリのコ Starting With You : ♡,가요 / 인디,04:17,마크툽 (MAKTUB),마크툽 (MAKTUB),마크툽 (MAKTUB),4431,220090,1295951,https://www.genie.co.kr/detail/songInfo?xgnm=111280752,111280752
18,나는 반딧불,황가람,나는 반딧불,가요 / 인디,03:35,정중식,정중식,우주비,39610,1342932,35387826,https://www.genie.co.kr/detail/songInfo?xgnm=108110746,108110746
19,HAPPY,DAY6 (데이식스),Fourever,가요 / 락,03:10,Young K (DAY6),"성진 (DAY6),원필 (DAY6),홍지상",홍지상,36614,1476586,41312876,https://www.genie.co.kr/detail/songInfo?xgnm=105757622,105757622
20,WICKED,ALLDAY PROJECT,FAMOUS,가요 / 랩/힙합,02:37,"TARZZAN,WOOCHAN,ANNIE,YOUNGSEO,BAILEY,Vince,Theron Thomas,Tommy Brown,Amanda Ratchford,Courtlin Jabrae Edwards","Theron Thomas,Dominsuk,24,Vince","Dominsuk,24",5355,441689,4288009,https://www.genie.co.kr/detail/songInfo?xgnm=110649475,110649475
21,Takedown,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:02,,,,8670,448388,3302430,https://www.genie.co.kr/detail/songInfo?xgnm=110589417,110589417
22,REBEL HEART,IVE (아이브),IVE EMPATHY,가요 / 댄스,03:08,Nietzsche,"Emily Harbakk,Ryan S. Jhun,Thomas G:son,Jimmy Jansson,Maia Wright,Jack Brady,Jordan Roman","Ryan S. Jhun,Gucci Caliente,The Wavys",24340,1136423,24301592,https://www.genie.co.kr/detail/songInfo?xgnm=108836768,108836768
23,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,OST / 드라마,04:03,강태규,홍진영,한밤 (Midnight),68233,2610253,268226149,https://www.genie.co.kr/detail/songInfo?xgnm=94535712,94535712
24,APT.,로제 (ROSÉ) & Bruno Mars,APT.,가요 / 락,02:50,"로제 (ROSÉ),Amy Allen,Christopher Brody Brown,Rogét Chahayed,Omer Fedi,Philip Lawrence,Bruno Mars,Theron Thomas,Henry Walter,Michael Chapman,Nicholas Chinn","로제 (ROSÉ),Amy Allen,Christopher Brody Brown,Rogét Chahayed,Omer Fedi,Philip Lawrence,Bruno Mars,Theron Thomas,Henry Walter,Michael Chapman,Nicholas Chinn","Bruno Mars,Cirkut,Omer Fedi,Rogét Chahayed",41527,1512433,45616098,https://www.genie.co.kr/detail/songInfo?xgnm=108107291,108107291
25,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,가요 / 발라드,03:43,로이킴,로이킴,강화성,20150,1161525,25002733,https://www.genie.co.kr/detail/songInfo?xgnm=108005739,108005739
26,TOO BAD (Feat. Anderson .Paak),G-DRAGON,Übermensch,가요 / 랩/힙합,02:34,"G-DRAGON,Anderson .Paak","G-DRAGON,Anderson .Paak,Bongo,Alissia,Yohan","G-DRAGON,Anderson .Paak,Bongo,Alissia",22171,1131231,22513961,https://www.genie.co.kr/detail/songInfo?xgnm=109217637,109217637
27,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,가요 / 락,03:26,Young K (DAY6),"Jae,성진 (DAY6),Young K (DAY6),원필 (DAY6),홍지상",홍지상,74989,2326630,74363471,https://www.genie.co.kr/detail/songInfo?xgnm=89220627,89220627
28,What It Sounds Like,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,04:10,,,,9592,400528,2919300,https://www.genie.co.kr/detail/songInfo?xgnm=110589420,110589420
29,Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile,POP / 팝,04:12,,,,21970,929463,14170264,https://www.genie.co.kr/detail/songInfo?xgnm=107520166,107520166
30,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'",가요 / 락,03:22,"이동혁,김혜정,시연,마젠타,히나,홍지혜,GESTURE,Elum","이동혁,GESTURE,ONE.KI,Elum","이동혁,홍훈기",6765,510819,5260785,https://www.genie.co.kr/detail/songInfo?xgnm=110420530,110420530
31,Welcome to the Show,DAY6 (데이식스),Fourever,가요 / 락,03:37,Young K (DAY6),"성진 (DAY6),Young K (DAY6),원필 (DAY6),홍지상",홍지상,34452,1439347,40476006,https://www.genie.co.kr/detail/songInfo?xgnm=105757621,105757621
32,Never Ending Story,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:44,김태원,김태원,서동환,10753,755064,7265347,https://www.genie.co.kr/detail/songInfo?xgnm=110308610,110308610
33,MY LOVE (2025),이예은 & 아샤트리 & 전건호,MY LOVE (2025),가요 / 발라드,04:02,이도연,이상준,"임광균,한상원",8933,648960,9956557,https://www.genie.co.kr/detail/songInfo?xgnm=109179632,109179632
34,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),가요 / 발라드,04:31,유해준,유해준,"김수빈 (AIMING),임수혁 (AIMING)",27392,1394347,38694832,https://www.genie.co.kr/detail/songInfo?xgnm=105563654,105563654
35,Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:08,,,,8159,380205,2772381,https://www.genie.co.kr/detail/songInfo?xgnm=110589419,110589419
36,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',가요 / 락,03:08,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",21804,1184478,27373054,https://www.genie.co.kr/detail/songInfo?xgnm=107855545,107855545
37,다시 만날 수 있을까,임영웅,IM HERO,가요 / 발라드,04:34,이적,이적,양시온,31836,1576741,174268199,https://www.genie.co.kr/detail/songInfo?xgnm=96696809,96696809
38,운명 (2025),먼데이 키즈 & 이이경,먼키의 발자국 Vol.1,가요 / 전체,04:19,BRAVE (브레이브),한상원,"이도형 (AUG),편준원 (AUG)",2868,244920,1614307,https://www.genie.co.kr/detail/songInfo?xgnm=111134057,111134057
39,천국보다 아름다운,임영웅,천국보다 아름다운,가요 / 발라드,04:55,4BOUT (어바웃),"4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav","4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav",9857,226090,29083390,https://www.genie.co.kr/detail/songInfo?xgnm=109752407,109752407
40,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album ［Lovestruck］,가요 / 댄스,03:12,시우,시우,"시우,Jeon Hong Jun",4495,333296,2517857,https://www.genie.co.kr/detail/songInfo?xgnm=110586309,110586309
41,Supernova,aespa,Armageddon - The 1st Album,가요 / 댄스,02:59,KENZIE,"KENZIE,Paris Alexa,Dem Jointz",Dem Jointz,29641,1547157,51159981,https://www.genie.co.kr/detail/songInfo?xgnm=106536223,106536223
42,예뻤어,DAY6 (데이식스),Every DAY6 February,가요 / 락,04:43,Young K (DAY6),"홍지상,이우민 'Collapsedone',원필 (DAY6),Young K (DAY6)","홍지상,이우민 'Collapsedone'",81677,2448374,85113279,https://www.genie.co.kr/detail/songInfo?xgnm=86931930,86931930
43,고민중독,QWER,1st Mini Album 'MANITO',가요 / 락,02:56,"이동혁,GESTURE,김혜정,Elum,마젠타","이동혁,홍훈기,Elum,GESTURE,한아영","이동혁,한아영",32079,1483544,45938972,https://www.genie.co.kr/detail/songInfo?xgnm=105938136,105938136
44,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,OST / 드라마,03:54,"한성호,수윤 (Sooyoon)","한성호,박수석,Moon Kim (Room01)",정진욱,33004,1382678,40497072,https://www.genie.co.kr/detail/songInfo?xgnm=104055957,104055957
45,toxic till the end,로제 (ROSÉ),rosie,가요 / 락,02:37,"로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz","로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz",Evan Blair,19393,995430,19482023,https://www.genie.co.kr/detail/songInfo?xgnm=108575614,108575614
46,에피소드,이무진,에피소드,가요 / 락,03:25,이무진,"이무진,함준석,EastWest,Junzo","함준석,EastWest",31498,1517912,43494158,https://www.genie.co.kr/detail/songInfo?xgnm=104821618,104821618
47,슬픈 초대장,순순희 (지환),슬픈 초대장,가요 / 발라드,04:07,김진아,이상준,한길 (Han Gil),17744,1123850,30252751,https://www.genie.co.kr/detail/songInfo?xgnm=104919515,104919515
48,Home,임영웅,온기,가요 / 댄스,03:55,"임영웅,X-CHILD",X-CHILD,"X-CHILD,정수완",12467,357681,65119943,https://www.genie.co.kr/detail/songInfo?xgnm=106393875,106393875
49,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,가요 / 댄스,02:42,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",35479,1578083,50282597,https://www.genie.co.kr/detail/songInfo?xgnm=105260468,105260468
50,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,가요 / 트로트,04:03,김이나,조영수,"조영수,이유진",66519,3047701,368318214,https://www.genie.co.kr/detail/songInfo?xgnm=90077755,90077755
51,Cruel Summer,Taylor Swift,Lover,POP / 팝,02:59,,,,24483,1177509,21386205,https://www.genie.co.kr/detail/songInfo?xgnm=89327408,89327408
52,모래 알갱이,임영웅,모래 알갱이,가요 / 발라드,03:40,"임영웅,김수형,황선호","임영웅,김수형,황선호",물고기,19866,887663,115188188,https://www.genie.co.kr/detail/songInfo?xgnm=102067588,102067588
53,인생찬가,임영웅,IM HERO,가요 / 발라드,03:53,윤명선,"윤명선,해구","해구,임미란",20558,874483,126813884,https://www.genie.co.kr/detail/songInfo?xgnm=96696817,96696817
54,보금자리,임영웅,IM HERO,가요 / 트로트,02:52,박진복,박상철,이창우,20069,854969,105811541,https://www.genie.co.kr/detail/songInfo?xgnm=96696813,96696813
55,우리들의 블루스,임영웅,IM HERO,가요 / 발라드,03:27,지훈,"이승주,최인환","이승주,최인환",38576,1815383,189788764,https://www.genie.co.kr/detail/songInfo?xgnm=96549502,96549502
56,ATTITUDE,IVE (아이브),IVE EMPATHY,가요 / 댄스,03:15,"서지음,Nietzsche,장원영 (IVE)","James Daniel Lewis,Ryan S. Jhun,Suzanne Vega,Rollo,Olga Sundin,Lotte Mørkved","Ryan S. Jhun,James Daniel Lewis",13385,873817,13975717,https://www.genie.co.kr/detail/songInfo?xgnm=108981829,108981829
57,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,가요 / 발라드,04:50,이찬혁,이찬혁,이현영,115346,4031104,151712620,https://www.genie.co.kr/detail/songInfo?xgnm=89382909,89382909
58,London Boy,임영웅,Polaroid,가요 / 락,04:04,"임영웅,Ji Soo Park (Chapter M)","임영웅,Ji Soo Park (Chapter M)",홍갑,22726,988580,131157622,https://www.genie.co.kr/detail/songInfo?xgnm=99014221,99014221
59,미치게 그리워서,황가람,미치게 그리워서,가요 / 인디,03:37,유해준,유해준,신성진,9854,713977,10404278,https://www.genie.co.kr/detail/songInfo?xgnm=109037899,109037899
60,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,가요 / 댄스,02:42,"Kako,운학","Pop Time,Kako,Daily,Ryo,Likey,지코 (ZICO),태산,운학","Pop Time,Daily,Likey",23732,813616,14408667,https://www.genie.co.kr/detail/songInfo?xgnm=108805146,108805146
61,I AM,IVE (아이브),I've IVE,가요 / 댄스,03:04,김이나,"Ryan S. Jhun,Kristin Marie,Audun Agnar Guldbrandsen,Eline Noelia Myreng","Ryan S. Jhun,Audun Agnar Guldbrandsen,Kristin Marie",46673,1992919,78813221,https://www.genie.co.kr/detail/songInfo?xgnm=101268096,101268096
62,TAKEDOWN (JEONGYEON & JIHYO & CHAEYOUNG),TWICE (트와이스),KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:01,,,,5435,345439,2039393,https://www.genie.co.kr/detail/songInfo?xgnm=110589412,110589412
63,Love wins all,아이유 (IU),The Winning,가요 / 발라드,04:31,아이유 (IU),서동환,서동환,35187,1581684,41466587,https://www.genie.co.kr/detail/songInfo?xgnm=105293063,105293063
64,Flower,오반 (OVAN),교회오빠,가요 / 인디,02:50,오반 (OVAN),"오반 (OVAN),히모",히모,10683,607637,8244596,https://www.genie.co.kr/detail/songInfo?xgnm=109356852,109356852
65,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,가요 / 발라드,03:15,"손박사,윤토벤 (YounToven)","윤토벤 (YounToven),손박사","O.YEON,박지환",23725,1108579,19518276,https://www.genie.co.kr/detail/songInfo?xgnm=94124212,94124212
66,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album 'Sparkling Blue',가요 / 전체,02:32,"WASURENAI,브라더수 (Brothersu),Jeon Jin,BuildingOwner,Glenn (PRISMFILTER)","WASURENAI,Jeon Jin,Ohway!,Nmore,Heon Seo (헌서),BuildingOwner,Glenn (PRISMFILTER),T-SK,YouthK","WASURENAI,Jeon Jin,Nmore,BuildingOwner,Ohway!",33971,1523786,48874584,https://www.genie.co.kr/detail/songInfo?xgnm=105262751,105262751
67,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,가요 / 댄스,03:12,"TEDDY,Vince,24","TEDDY,24","24,Dominsuk",5967,494023,5381040,https://www.genie.co.kr/detail/songInfo?xgnm=109960034,109960034
68,비의 랩소디,임재현,비의 랩소디,가요 / 발라드,03:55,"주영훈,이세준 (유리상자)",주영훈,신성진,25246,1511133,42969860,https://www.genie.co.kr/detail/songInfo?xgnm=104553679,104553679
69,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,가요 / 댄스,02:47,카리나 (KARINA),"Slow Rabbit,Morgan Connie Smith,Taneisha Jackson,Sofia Quinn,PXPILLON,Emma-Lee Andersson,BB Elliot,Stella Jones (153/Joombas)","Slow Rabbit,PXPILLON",16305,1067145,21914304,https://www.genie.co.kr/detail/songInfo?xgnm=108014478,108014478
70,PO￦ER,G-DRAGON,PO￦ER,가요 / 랩/힙합,02:23,G-DRAGON,"Tommy Brown,Theron Thomas,Steven Franks,G-DRAGON","Tommy Brown,Steven Franks",22332,1169571,24133900,https://www.genie.co.kr/detail/songInfo?xgnm=108221081,108221081
71,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',가요 / 락,05:01,윤하 (YOUNHA),"윤하 (YOUNHA),JEWNO (손준호)","JEWNO (손준호),숀 (SHAUN)",68360,2365641,87962875,https://www.genie.co.kr/detail/songInfo?xgnm=96424586,96424586
72,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),가요 / 발라드,04:11,강현민,강현민,정수민 (SSMusic),28979,1384044,33609401,https://www.genie.co.kr/detail/songInfo?xgnm=103024121,103024121
73,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,가요 / 발라드,04:23,"이무진,Rizin (153/Joombas),투챔프 (Alive Nation),세영 (153/Joombas)","이무진,서동환,하성호",서동환,14481,1026238,20362264,https://www.genie.co.kr/detail/songInfo?xgnm=105980797,105980797
74,Small girl (Feat. 도경수 (D.O.)),이영지,16 Fantasy,가요 / 랩/힙합,03:10,이영지,"PEEJAY,이영지",PEEJAY,26910,1296338,28349674,https://www.genie.co.kr/detail/songInfo?xgnm=106955582,106955582
75,주저하는 연인들을 위해,잔나비,전설,가요 / 인디,04:25,잔나비 최정훈,"잔나비 최정훈,잔나비 김도형,유영현","잔나비 최정훈,잔나비 김도형,유영현,권지수",105065,4068931,138121693,https://www.genie.co.kr/detail/songInfo?xgnm=88686378,88686378
76,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),OST / 드라마,03:05,김민석,멜로망스 (MeloMance),정동환 (멜로망스),51664,2498068,84932940,https://www.genie.co.kr/detail/songInfo?xgnm=96042335,96042335
77,HOT,LE SSERAFIM (르세라핌),HOT,가요 / 댄스,02:24,"Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진","Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진",,7067,627262,8603699,https://www.genie.co.kr/detail/songInfo?xgnm=109450165,109450165
78,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,가요 / 발라드,03:51,"한상원,이진성 (먼데이 키즈/Monday Kiz)","한상원,이진성 (먼데이 키즈/Monday Kiz)",한상원,59861,2586543,104681405,https://www.genie.co.kr/detail/songInfo?xgnm=93336453,93336453
79,멸종위기사랑,이찬혁,EROS,가요 / 댄스,03:40,이찬혁,"이찬혁,MILLENNIUM,시황,이진협",,3086,136358,931370,https://www.genie.co.kr/detail/songInfo?xgnm=110968221,110968221
80,무지개,임영웅,IM HERO,가요 / 전체,03:16,"김시온 (KIM ZION),멧돼지","멧돼지,김시온 (KIM ZION)","김시온 (KIM ZION),멧돼지,정수완",27294,1305534,139414956,https://www.genie.co.kr/detail/songInfo?xgnm=96696807,96696807
81,How Sweet,NewJeans,How Sweet,가요 / 댄스,03:39,"Gigi,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman,다니엘 (DANIELLE)","250,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman",250,25089,1366108,35492096,https://www.genie.co.kr/detail/songInfo?xgnm=106668582,106668582
82,Magnetic,아일릿 (ILLIT),SUPER REAL ME,가요 / 댄스,02:41,"Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스","Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스",,22666,1371157,38537328,https://www.genie.co.kr/detail/songInfo?xgnm=105872512,105872512
83,헤어지자 말해요,박재정,1집 Alone,가요 / 발라드,04:04,박재정,"박재정,박현중",박현중,39069,1851552,60528114,https://www.genie.co.kr/detail/songInfo?xgnm=101407645,101407645
84,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,가요 / 발라드,04:19,백마리,백마리,전주현,25114,1468118,36229887,https://www.genie.co.kr/detail/songInfo?xgnm=102605425,102605425
85,온기,임영웅,온기,가요 / 발라드,03:55,"임영웅,김이나","임영웅,정수완,황선호",물고기,12183,378171,62722494,https://www.genie.co.kr/detail/songInfo?xgnm=106393876,106393876
86,Do or Die,임영웅,Do or Die,가요 / 댄스,03:25,"차리 (153/Joombas),임영웅","AVENUE 52,Jimmy Burney (153/Joombas)",AVENUE 52,13982,503977,99622112,https://www.genie.co.kr/detail/songInfo?xgnm=103807036,103807036
87,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP / 팝,03:09,,,,52788,2002892,58712140,https://www.genie.co.kr/detail/songInfo?xgnm=98304971,98304971
88,심 (心),DK (디셈버),심 (心),가요 / 락,04:17,박준배,이근상,정수민 (SSMusic),25135,1635558,47914767,https://www.genie.co.kr/detail/songInfo?xgnm=100522029,100522029
89,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",가요 / 발라드,04:18,"조은영,짙은",짙은,"최상언,김홍준",21035,1315527,29088250,https://www.genie.co.kr/detail/songInfo?xgnm=102531243,102531243
90,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',가요 / 댄스,02:57,"Gigi,Ylva Dimberg,하니 (HANNI)","250,Ylva Dimberg",250,54710,2406124,102646429,https://www.genie.co.kr/detail/songInfo?xgnm=97582507,97582507
91,Mantra,제니 (JENNIE),Mantra,가요 / 댄스,02:17,"제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","Jumpa,El Guincho,Serban",13034,1039612,20094941,https://www.genie.co.kr/detail/songInfo?xgnm=108040137,108040137
92,네모의 꿈,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:21,유영석,유영석,"제휘,flexindoor",6954,518835,4105522,https://www.genie.co.kr/detail/songInfo?xgnm=110308614,110308614
93,Stay,The Kid LAROI & Justin Bieber,Stay,POP / 팝,02:22,,,,72488,2817286,97018324,https://www.genie.co.kr/detail/songInfo?xgnm=93717294,93717294
94,Older,Sasha Alex Sloan,Older,POP / 팝,03:11,,,,25212,961947,13892882,https://www.genie.co.kr/detail/songInfo?xgnm=88357385,88357385
95,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마),OST / 드라마,04:03,심현보,성시경,안준영,67277,4102163,111964375,https://www.genie.co.kr/detail/songInfo?xgnm=82280761,82280761
96,DRIP,BABYMONSTER,DRIP,가요 / 댄스,03:01,"Sandra Wikstrom,YG,AiRPLAY,MASTA WU,CHOICE37,Sonny","AiRPLAY,Illjun,Sandra Wikstrom,G-DRAGON","AiRPLAY,Illjun,YG",10079,761084,12258224,https://www.genie.co.kr/detail/songInfo?xgnm=108218789,108218789
97,벌써 일년,브라운 아이즈,Brown Eyes,가요 / 발라드,03:28,한경혜,윤건,윤건,35077,2561074,45759852,https://www.genie.co.kr/detail/songInfo?xgnm=16108183,16108183
98,LIKE YOU BETTER,프로미스나인,From Our 20's,가요 / 댄스,03:05,"Tomy,HANIHAS(XYXX),유연","HONEY NOISE (THE HUB),Awrii (THE HUB),Ayushy (THE HUB),Frankie Day (THE HUB),Brian U (THE HUB),Tomy","HONEY NOISE (THE HUB),Brian U (THE HUB)",5431,276149,2335202,https://www.genie.co.kr/detail/songInfo?xgnm=110673874,110673874
